dt,value
2024-12-01,323
2024-12-02,416
2024-12-03,489
2024-12-04,486
2024-12-05,406
2024-12-06,425
2024-12-07,325
2024-12-08,429
2024-12-09,402
2024-12-10,403
2024-12-11,377
2024-12-12,389
2024-12-13,352
2024-12-14,425
2024-12-15,335
2024-12-16,337
2024-12-17,477
2024-12-18,294
2024-12-19,393
2024-12-20,352
2024-12-21,344
2024-12-22,295
2024-12-23,273
2024-12-24,347
2024-12-25,290
2024-12-26,254
2024-12-27,356
2024-12-28,303
2024-12-29,265
2024-12-30,370
2024-12-31,359
2025-01-01,422
2025-01-02,412
2025-01-03,405
2025-01-04,463
2025-01-05,458
2025-01-06,516
